journal,impact_factor,jcr_quartile,metric_year,metric_source,indexing,venue_note
Physical Review B,3.7,Q1,2024,JCR,SCIE,凝聚态物理旗舰期刊
Physical Review Letters,8.1,Q1,2024,JCR,SCIE,物理综合顶刊
Physical Review X,12.2,Q1,2024,JCR,SCIE,开放获取顶刊
Journal of Chemical Physics,3.5,Q1,2024,JCR,SCIE,化学物理核心期刊
Journal of Physical Chemistry C,4.0,Q1,2024,JCR,SCIE,材料物理化学
Physical Chemistry Chemical Physics,3.3,Q1,2024,JCR,SCIE,物理化学
Computational Materials Science,3.3,Q2,2024,JCR,SCIE,计算材料学专业期刊
Journal of Physics: Condensed Matter,2.5,Q2,2024,JCR,SCIE,凝聚态物理
Journal of Applied Physics,2.8,Q2,2024,JCR,SCIE,应用物理
Applied Physics Letters,4.0,Q1,2024,JCR,SCIE,应用物理快报
Acta Materialia,9.4,Q1,2024,JCR,SCIE,材料研究旗舰
Chemistry of Materials,9.2,Q1,2024,JCR,SCIE,材料化学
npj Computational Materials,12.0,Q1,2024,JCR,SCIE,计算材料学顶刊
